dataset,id,question,ground_truth_answer,ground_truth_explanation,num_models_incorrect,models_incorrect_list,gemini_model_id,nvidia_model_id,vertex_gemma_model_id,gemini_parsed,nvidia_parsed,vertex_gemma_parsed,question_length,word_count,token_count,clean_question,clean_explanation,domains,gemini_correct,nvidia_correct,vertex_gemma_correct,cluster,tsne_x,tsne_y,difficulty
mmlu_clinical_knowledge,index_102,"A 67-year-old man, three hours post-transurethral resection of prostate with irrigation, has a blocked catheter. Which solution should be used to complete bladder washout?",B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,A,171,24,27,hours posttransurethral resection of prostate with irrigation has blocked catheter solution should be to complete bladder washout,nan,"['cardiology', 'nephrology', 'otolaryngology', 'psychiatry', 'urology', 'surgery', 'radiology']",1,1,0,0,-50.012867,9.00072,0.3333333333333333
mmlu_clinical_knowledge,index_106,The sex of a child is dictated by the inheritance of:,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,A,53,11,11,the sex of is dictated by the inheritance of,nan,"['pediatrics', 'hematology', 'radiology']",1,1,0,0,-2.5392811,-9.371601,0.3333333333333333
mmlu_clinical_knowledge,index_107,Which of the following is true in spastic paraplegia?,A,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,A,A,C,53,9,9,of the is in spastic paraplegia,nan,"['obstetrics', 'infectious_disease']",1,1,0,0,-1.4895935,-8.161236,0.3333333333333333
mmlu_clinical_knowledge,index_108,"The synthesis of glucose from lactate, glycerol, or amino acids is called:",D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,A,74,12,12,the synthesis of glucose from lactate glycerol or amino acids is called,nan,"['endocrinology', 'radiology']",1,1,0,0,-43.490677,16.948679,0.3333333333333333
mmlu_clinical_knowledge,index_111,How many different types of microorganisms may colonize the mouth?,C,,3,"gemini, nvidia, vertex_gemma",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,A,66,10,10,different types of microorganisms may colonize the mouth,nan,"['gastroenterology', 'otolaryngology']",0,0,0,0,-2.333736,-8.471853,1.0
mmlu_clinical_knowledge,index_113,Which of the following is the same strength as Adrenaline 1 in 1000? Choose one answer from the following:,A,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,A,A,D,106,19,19,of the is the same strength adrenaline in from the,nan,"['endocrinology', 'nephrology']",1,1,0,0,-3.3476317,-8.406861,0.3333333333333333
mmlu_clinical_knowledge,index_115,Hypernatraemic dehydration is:,A,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,A,A,B,30,3,3,hypernatraemic dehydration is,nan,['unclassified'],1,1,0,0,-1.1310066,-10.363182,0.3333333333333333
mmlu_clinical_knowledge,index_117,Which of the following can act as an intracellular buffer to limit pH changes when the rate of glycolysis is high?,C,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,C,A,114,21,21,of the can act an intracellular buffer to limit ph changes the of glycolysis is high,nan,['radiology'],1,1,0,0,-2.9561353,-5.4540586,0.3333333333333333
mmlu_clinical_knowledge,index_118,Which of the following is true about Addisons Disease?,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,C,54,9,9,of the is about addisons,nan,"['endocrinology', 'psychiatry']",1,1,0,0,-3.8544335,-7.4350863,0.3333333333333333
mmlu_clinical_knowledge,index_122,Which of the following drugs may be used to enhance gastric motility?,C,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,C,B,69,12,12,of the drugs may be to enhance gastric motility,nan,"['gastroenterology', 'pharmacology']",1,1,0,0,-2.3683686,-6.3251834,0.3333333333333333
mmlu_clinical_knowledge,index_123,The creatine kinase reaction is:,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,A,32,5,5,the creatine kinase reaction is,nan,"['infectious_disease', 'radiology']",1,1,0,0,-3.2673452,-4.481668,0.3333333333333333
mmlu_clinical_knowledge,index_124,Where should a stoma be sited?,A,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,A,A,B,30,6,6,should stoma be sited,nan,['unclassified'],1,1,0,0,-3.0906644,-6.812329,0.3333333333333333
mmlu_clinical_knowledge,index_127,Insensible loss does not come from:,C,,2,"nvidia, vertex_gemma",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,D,A,35,6,6,insensible loss does come from,nan,['unclassified'],1,0,0,4,50.43676,20.069696,0.6666666666666666
mmlu_clinical_knowledge,index_129,"Pairs of electrons carried in the form, FADH2 and NADH+H, collectively contain enough free energy to rephosphorylate:",B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,A,117,17,18,pairs of electrons carried in the form fadh and nadhh collectively contain enough free energy to rephosphorylate,nan,['radiology'],1,1,0,0,-0.2839513,-1.003345,0.3333333333333333
mmlu_clinical_knowledge,index_132,The pulse can be palpated:,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,C,26,5,5,the pulse can be palpated,nan,['unclassified'],1,1,0,0,-48.024044,-2.4116838,0.3333333333333333
mmlu_clinical_knowledge,index_134,Which of the following is true about the knee joint?,C,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,C,B,52,10,10,of the is about the knee joint,nan,['orthopedics'],1,1,0,0,0.6812974,-61.096977,0.3333333333333333
mmlu_clinical_knowledge,index_137,Which of these is most likely to cause deviation of the trachea?,C,,1,gemini,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,A,C,C,64,12,12,of these is to deviation of the trachea,nan,['unclassified'],0,1,1,0,-2.2239478,-4.408193,0.3333333333333333
mmlu_clinical_knowledge,index_139,What is the 'normal' range of flexion at the knee joint?,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,A,56,11,11,is the normal range of flexion at the knee joint,nan,['orthopedics'],1,1,0,0,0.05241058,-62.087376,0.3333333333333333
mmlu_clinical_knowledge,index_141,After what period of time does maximal dynamic exercise become predominantly aerobic?,C,,3,"gemini, nvidia, vertex_gemma",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,B,85,12,12,period of does maximal dynamic exercise become predominantly aerobic,nan,['unclassified'],0,0,0,4,54.362537,30.87498,1.0
mmlu_clinical_knowledge,index_146,Which of the following parameters are seen on typical neurological observation charts?,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,D,86,12,12,of the are on typical neurological observation charts,nan,"['obstetrics', 'urology']",1,1,0,0,-1.9389706,-0.640791,0.3333333333333333
mmlu_clinical_knowledge,index_147,"In the discharge checklist recommended by the Department of Health (2004), who should be involved in completing the form?",B,,3,"gemini, nvidia, vertex_gemma",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,A,A,A,121,19,19,in the discharge checklist by the of should be involved in completing the form,nan,"['orthopedics', 'otolaryngology']",0,0,0,0,-2.5063589,-1.2599804,1.0
mmlu_clinical_knowledge,index_148,Which of the following is true regarding the complications of a large goitre?,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,C,77,13,13,of the is regarding the complications of large goitre,nan,['unclassified'],1,1,0,0,0.21583734,-0.6283235,0.3333333333333333
mmlu_clinical_knowledge,index_153,Which is the most reliable way to assess for clubbing?,D,,2,"gemini, vertex_gemma",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,D,C,54,10,10,is the reliable way to assess for clubbing,nan,['unclassified'],0,1,0,0,-2.960384,-1.9739273,0.6666666666666666
mmlu_clinical_knowledge,index_155,Name three of the five main uses of the hand.,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,D,45,10,10,name of the main uses of the hand,nan,['unclassified'],1,1,0,0,-4.5064955,-3.0733547,0.3333333333333333
mmlu_clinical_knowledge,index_156,Which of the following is true about an abdominal mass?,D,,2,"gemini, vertex_gemma",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,D,A,55,10,10,of the is about an abdominal mass,nan,['gastroenterology'],0,1,0,0,-37.110313,-16.500301,0.6666666666666666
mmlu_clinical_knowledge,index_157,Which of the following is not a category used to classify patients according to the Glasgow Coma Scale?,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,A,103,18,18,of the is category to classify according to the glasgow coma scale,nan,"['otolaryngology', 'emergency_medicine']",1,1,0,0,-3.5778239,-2.6648777,0.3333333333333333
mmlu_clinical_knowledge,index_160,The conversion of one molecule of glucose to two molecules of pyruvate results in the net formation of:,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,A,103,18,18,the conversion of molecule of glucose to molecules of pyruvate results in the net formation of,nan,['endocrinology'],1,1,0,0,-37.15567,37.29024,0.3333333333333333
mmlu_clinical_knowledge,index_161,The net production of ATP via substrate-level phosphorylation in glycolysis is:,A,,2,"gemini, vertex_gemma",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,A,C,79,11,12,the net production of atp via substratelevel phosphorylation in glycolysis is,nan,['radiology'],0,1,0,0,-2.3552694,-4.971373,0.6666666666666666
mmlu_clinical_knowledge,index_162,Which of the following is true about rectal bleeding?,A,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,A,A,D,53,9,9,of the is about rectal bleeding,nan,"['gastroenterology', 'hematology', 'emergency_medicine', 'pharmacology', 'radiology']",1,1,0,0,2.4929433,2.0387747,0.3333333333333333
mmlu_clinical_knowledge,index_170,Bronchial breathing is characterized by,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,A,39,5,5,bronchial breathing is characterized by,nan,"['pulmonology', 'radiology']",1,1,0,0,-2.9644587,-0.3495846,0.3333333333333333
mmlu_clinical_knowledge,index_172,The frontal lobe of the brain's cortex is responsible for which of the following?,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,A,81,14,15,the frontal lobe of the brains cortex is responsible for of the,nan,['neurology'],1,1,0,0,1.0712584,-0.23584561,0.3333333333333333
mmlu_clinical_knowledge,index_176,What must you ensure before a speaking valve is used?,C,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,C,D,53,10,10,must you ensure speaking valve is,nan,"['cardiology', 'nephrology']",1,1,0,0,-3.7254927,-5.066209,0.3333333333333333
mmlu_clinical_knowledge,index_179,"For very high force contractions lasting 1-2 seconds, the initial energy source is from:",D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,C,88,14,15,for very high force contractions lasting seconds the energy source is from,nan,"['neurology', 'obstetrics', 'infectious_disease', 'radiology']",1,1,0,0,-4.0799313,-1.9093405,0.3333333333333333
