dataset,id,question,ground_truth_answer,ground_truth_explanation,num_models_incorrect,models_incorrect_list,gemini_model_id,nvidia_model_id,vertex_gemma_model_id,gemini_parsed,nvidia_parsed,vertex_gemma_parsed
mmlu_clinical_knowledge,index_102,"A 67-year-old man, three hours post-transurethral resection of prostate with irrigation, has a blocked catheter. Which solution should be used to complete bladder washout?",B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,A
mmlu_clinical_knowledge,index_106,The sex of a child is dictated by the inheritance of:,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,A
mmlu_clinical_knowledge,index_107,Which of the following is true in spastic paraplegia?,A,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,A,A,C
mmlu_clinical_knowledge,index_108,"The synthesis of glucose from lactate, glycerol, or amino acids is called:",D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,A
mmlu_clinical_knowledge,index_111,How many different types of microorganisms may colonize the mouth?,C,,3,"gemini, nvidia, vertex_gemma",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,A
mmlu_clinical_knowledge,index_113,Which of the following is the same strength as Adrenaline 1 in 1000? Choose one answer from the following:,A,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,A,A,D
mmlu_clinical_knowledge,index_115,Hypernatraemic dehydration is:,A,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,A,A,B
mmlu_clinical_knowledge,index_117,Which of the following can act as an intracellular buffer to limit pH changes when the rate of glycolysis is high?,C,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,C,A
mmlu_clinical_knowledge,index_118,Which of the following is true about Addisons Disease?,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,C
mmlu_clinical_knowledge,index_122,Which of the following drugs may be used to enhance gastric motility?,C,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,C,B
mmlu_clinical_knowledge,index_123,The creatine kinase reaction is:,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,A
mmlu_clinical_knowledge,index_124,Where should a stoma be sited?,A,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,A,A,B
mmlu_clinical_knowledge,index_127,Insensible loss does not come from:,C,,2,"nvidia, vertex_gemma",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,D,A
mmlu_clinical_knowledge,index_129,"Pairs of electrons carried in the form, FADH2 and NADH+H, collectively contain enough free energy to rephosphorylate:",B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,A
mmlu_clinical_knowledge,index_132,The pulse can be palpated:,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,C
mmlu_clinical_knowledge,index_134,Which of the following is true about the knee joint?,C,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,C,B
mmlu_clinical_knowledge,index_137,Which of these is most likely to cause deviation of the trachea?,C,,1,gemini,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,A,C,C
mmlu_clinical_knowledge,index_139,What is the 'normal' range of flexion at the knee joint?,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,A
mmlu_clinical_knowledge,index_141,After what period of time does maximal dynamic exercise become predominantly aerobic?,C,,3,"gemini, nvidia, vertex_gemma",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,B
mmlu_clinical_knowledge,index_146,Which of the following parameters are seen on typical neurological observation charts?,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,D
mmlu_clinical_knowledge,index_147,"In the discharge checklist recommended by the Department of Health (2004), who should be involved in completing the form?",B,,3,"gemini, nvidia, vertex_gemma",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,A,A,A
mmlu_clinical_knowledge,index_148,Which of the following is true regarding the complications of a large goitre?,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,C
mmlu_clinical_knowledge,index_153,Which is the most reliable way to assess for clubbing?,D,,2,"gemini, vertex_gemma",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,D,C
mmlu_clinical_knowledge,index_155,Name three of the five main uses of the hand.,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,D
mmlu_clinical_knowledge,index_156,Which of the following is true about an abdominal mass?,D,,2,"gemini, vertex_gemma",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,D,A
mmlu_clinical_knowledge,index_157,Which of the following is not a category used to classify patients according to the Glasgow Coma Scale?,D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,A
mmlu_clinical_knowledge,index_160,The conversion of one molecule of glucose to two molecules of pyruvate results in the net formation of:,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,A
mmlu_clinical_knowledge,index_161,The net production of ATP via substrate-level phosphorylation in glycolysis is:,A,,2,"gemini, vertex_gemma",models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,A,C
mmlu_clinical_knowledge,index_162,Which of the following is true about rectal bleeding?,A,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,A,A,D
mmlu_clinical_knowledge,index_170,Bronchial breathing is characterized by,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,A
mmlu_clinical_knowledge,index_172,The frontal lobe of the brain's cortex is responsible for which of the following?,B,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,B,B,A
mmlu_clinical_knowledge,index_176,What must you ensure before a speaking valve is used?,C,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,C,C,D
mmlu_clinical_knowledge,index_179,"For very high force contractions lasting 1-2 seconds, the initial energy source is from:",D,,1,vertex_gemma,models/gemini-2.0-flash,deepseek-ai/deepseek-r1,vertex-7050478675136872448,D,D,C
