id,dataset,question,ground_truth_answer,gemini_model,gemini_parsed_answer,gemini_raw_response,gemini_outcome
index_0,mmlu_clinical_knowledge,What size of cannula would you use in a patient who needed a rapid blood transfusion (as of 2020 medical knowledge)?,A,models/gemini-2.0-flash,A,A,Correct
index_1,mmlu_clinical_knowledge,The key attribute in successful marathon running is:,D,models/gemini-2.0-flash,D,D,Correct
index_2,mmlu_clinical_knowledge,Which of the following is the commonest cause of dementia in the UK?,A,models/gemini-2.0-flash,A,A,Correct
index_3,mmlu_clinical_knowledge,Which of the following is NOT a symptom of anaphylaxis?,B,models/gemini-2.0-flash,B,B,Correct
index_4,mmlu_clinical_knowledge,In what situation are closed pouches applied?,B,models/gemini-2.0-flash,B,B,Correct
index_5,mmlu_clinical_knowledge,With an increasing number of sprints the:,D,models/gemini-2.0-flash,D,D,Correct
index_6,mmlu_clinical_knowledge,Which of the following is true in diplopia?,B,models/gemini-2.0-flash,D,D,Incorrect
index_7,mmlu_clinical_knowledge,Sodium bicarbonate ingestion improves middle distance running performance by:,A,models/gemini-2.0-flash,A,A,Correct
index_8,mmlu_clinical_knowledge,Codons are composed of:,A,models/gemini-2.0-flash,A,A,Correct
index_9,mmlu_clinical_knowledge,Fatty acids are transported into the mitochondria bound to:,D,models/gemini-2.0-flash,D,D,Correct
index_10,mmlu_clinical_knowledge,Which of the answers below best indicates the compatible blood types that can be given to a person with a blood group B (rhesus negative)?,C,models/gemini-2.0-flash,C,C,Correct
index_11,mmlu_clinical_knowledge,Which of the following is true of a lower motor neurone lesion in the arm?,D,models/gemini-2.0-flash,D,D,Correct
index_12,mmlu_clinical_knowledge,Which of the following statements is false?,B,models/gemini-2.0-flash,D,D,Incorrect
index_13,mmlu_clinical_knowledge,Glycogen breakdown in muscle initially results in the formation of:,B,models/gemini-2.0-flash,B,B,Correct
index_14,mmlu_clinical_knowledge,The two principal contractile proteins found in skeletal muscle are:,B,models/gemini-2.0-flash,B,B,Correct
index_15,mmlu_clinical_knowledge,Which one of the following represents a IIIrd cranial nerve palsy and is a neurosurgical emergency?,C,models/gemini-2.0-flash,C,C,Correct
index_16,mmlu_clinical_knowledge,Which of the following is true about a thyroid swelling?,D,models/gemini-2.0-flash,D,D,Correct
index_17,mmlu_clinical_knowledge,Which of the following is true of hepatomegaly?,C,models/gemini-2.0-flash,C,C,Correct
index_18,mmlu_clinical_knowledge,Which of the following is true regarding reflexes?,C,models/gemini-2.0-flash,C,C,Correct
index_19,mmlu_clinical_knowledge,Which of the following is true of facial nerve palsy?,C,models/gemini-2.0-flash,C,C,Correct
index_20,mmlu_clinical_knowledge,What is a colles fracture?,D,models/gemini-2.0-flash,D,D,Correct
index_21,mmlu_clinical_knowledge,"If a transfusion reaction is suspected, you should:",A,models/gemini-2.0-flash,A,A,Correct
index_22,mmlu_clinical_knowledge,"Once a prescribed unit of blood product has been obtained from the blood bank and is out of refrigeration, the transfusion should commence within what period of time before it starts to deteriorate (as of 2020 medical knowledge)?",A,models/gemini-2.0-flash,C,C,Incorrect
index_23,mmlu_clinical_knowledge,Which of the following statements is true about informal carers (as of 2020)?,B,models/gemini-2.0-flash,B,B,Correct
index_24,mmlu_clinical_knowledge,Which of the following processes is not used to modify protein structure after translation has occurred?,B,models/gemini-2.0-flash,B,B,Correct
index_25,mmlu_clinical_knowledge,Why would you need to carry out a bladder washout for a patient at home?,B,models/gemini-2.0-flash,B,B,Correct
index_26,mmlu_clinical_knowledge,A 14-16 gauge needle is most likely to be used for:,D,models/gemini-2.0-flash,D,D,Correct
index_27,mmlu_clinical_knowledge,Which of these features suggest that a crackling sound is more likely due to a pleural friction rub than crackles?,A,models/gemini-2.0-flash,A,A,Correct
index_28,mmlu_clinical_knowledge,In games like soccer the blood lactate concentration:,B,models/gemini-2.0-flash,C,C,Incorrect
index_29,mmlu_clinical_knowledge,Lactate and hydrogen ions leave the muscle:,C,models/gemini-2.0-flash,C,C,Correct
index_30,mmlu_clinical_knowledge,Which of the following is true of the spine?,B,models/gemini-2.0-flash,B,B,Correct
index_31,mmlu_clinical_knowledge,Which of the following is true of psoriatic arthropathy?,D,models/gemini-2.0-flash,D,D,Correct
index_32,mmlu_clinical_knowledge,Which of the following is true of Graves Disease of the thyroid?,A,models/gemini-2.0-flash,A,A,Correct
index_33,mmlu_clinical_knowledge,Which of the following is true of calcium metabolism?,B,models/gemini-2.0-flash,B,B,Correct
index_34,mmlu_clinical_knowledge,Kinase reactions:,B,models/gemini-2.0-flash,B,B,Correct
index_35,mmlu_clinical_knowledge,The normal respiratory rate for an adult male is:,D,models/gemini-2.0-flash,D,D,Correct
index_36,mmlu_clinical_knowledge,Collagen fibres:,C,models/gemini-2.0-flash,C,C,Correct
index_37,mmlu_clinical_knowledge,Which of the following releases most energy when completely oxidised in the body?,B,models/gemini-2.0-flash,B,B,Correct
index_38,mmlu_clinical_knowledge,Embedded in the inner membrane of the mitochondrion are:,B,models/gemini-2.0-flash,B,B,Correct
index_39,mmlu_clinical_knowledge,"If the mean rate of oxygen consumption of a male athlete during a training session is 2 l/min, then his rate of energy expenditure is approximately:",D,models/gemini-2.0-flash,D,D,Correct
index_40,mmlu_clinical_knowledge,A normal heart rate for an adult at rest is:,B,models/gemini-2.0-flash,B,B,Correct
index_41,mmlu_clinical_knowledge,Which of the following statements is false?,D,models/gemini-2.0-flash,D,D,Correct
index_42,mmlu_clinical_knowledge,Which of the following is true in ulna nerve palsy?,C,models/gemini-2.0-flash,C,C,Correct
index_43,mmlu_clinical_knowledge,How much toothpaste is recommended for cleaning teeth?,B,models/gemini-2.0-flash,B,B,Correct
index_44,mmlu_clinical_knowledge,Which of the following is true about Cushing's Syndrome?,D,models/gemini-2.0-flash,D,D,Correct
index_45,mmlu_clinical_knowledge,The main factors determining success in sport are:,D,models/gemini-2.0-flash,D,D,Correct
index_46,mmlu_clinical_knowledge,"In a double stranded molecule of DNA, the ratio of purines : pyrimidines is:",D,models/gemini-2.0-flash,D,D,Correct
index_47,mmlu_clinical_knowledge,Performance enhancing synthetic steroids are based on the structure of the hormone:,A,models/gemini-2.0-flash,A,A,Correct
index_48,mmlu_clinical_knowledge,Glycogen breakdown in exercising muscle is activated by:,D,models/gemini-2.0-flash,D,D,Correct
index_49,mmlu_clinical_knowledge,Most of the free fatty acids are transported in the blood:,D,models/gemini-2.0-flash,D,D,Correct
index_50,mmlu_clinical_knowledge,How often should a cannula be flushed?,C,models/gemini-2.0-flash,A,A,Incorrect
