id,dataset,question,ground_truth_answer,vertex_gemma_model,vertex_gemma_parsed_answer,vertex_gemma_raw_response,vertex_gemma_outcome
index_0,mmlu_clinical_knowledge,What size of cannula would you use in a patient who needed a rapid blood transfusion (as of 2020 medical knowledge)?,A,vertex-7050478675136872448,A,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: What size of cannula would you use in a patient who needed a rapid blood transfusion (as of 2020 medical knowledge)?

Options:
A. 18 gauge.
B. 20 gauge.
C. 22 gauge.
D. 24 gauge.
Output:
Choose the correct answer.
A",Correct
index_1,mmlu_clinical_knowledge,The key attribute in successful marathon running is:,D,vertex-7050478675136872448,D,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: The key attribute in successful marathon running is:

Options:
A. strength.
B. power.
C. stride length.
D. stamina.
Output:
Answer: D",Correct
index_2,mmlu_clinical_knowledge,Which of the following is the commonest cause of dementia in the UK?,A,vertex-7050478675136872448,A,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Which of the following is the commonest cause of dementia in the UK?

Options:
A. Alzheimer's disease.
B. Cerebrovascular (stroke) disease.
C. Lewy body dementia.
D. HIV infection.
Output:
Answer: A",Correct
index_3,mmlu_clinical_knowledge,Which of the following is NOT a symptom of anaphylaxis?,B,vertex-7050478675136872448,B,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Which of the following is NOT a symptom of anaphylaxis?

Options:
A. Stridor.
B. Bradycardia.
C. Severe wheeze.
D. Rash.
Output:
Answer: B",Correct
index_4,mmlu_clinical_knowledge,In what situation are closed pouches applied?,B,vertex-7050478675136872448,B,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: In what situation are closed pouches applied?

Options:
A. The patient has a semi-formed or liquid output.
B. The patient has a colostomy.
C. In the immediate post-operative period.
D. The patient has a urostomy.
Output:
Answer: B",Correct
index_5,mmlu_clinical_knowledge,With an increasing number of sprints the:,D,vertex-7050478675136872448,D,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: With an increasing number of sprints the:

Options:
A. anaerobic contribution progressively increases.
B. pH of the muscle falls below 6.0.
C. blood glucose concentration falls below 3 mmol/L.
D. relative contribution of aerobic metabolism increases.
Output:
Answer: D",Correct
index_6,mmlu_clinical_knowledge,Which of the following is true in diplopia?,B,vertex-7050478675136872448,A,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Which of the following is true in diplopia?

Options:
A. Diplopia can never occur if one eye is covered
B. The outer image is always the false image
C. A fourth nerve palsy occurs when the patient looks upwards
D. A sixth nerve palsy causes a divergent squint
Output:
ANSWER: C",Incorrect
index_7,mmlu_clinical_knowledge,Sodium bicarbonate ingestion improves middle distance running performance by:,A,vertex-7050478675136872448,A,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Sodium bicarbonate ingestion improves middle distance running performance by:

Options:
A. elevating the pH and buffering capacity of the extracellular fluid allowing a faster efflux of hydrogen ions from muscle.
B. reducing the pH and buffering capacity of the extracellular fluid allowing a faster efflux of hydrogen ions from muscle.
C. elevating the pH and buffering capacity of the extracellular fluid allowing a faster influx of hydrogen ions into muscle.
D. elevating the pre-exercise muscle pH.
Output:
Answer: A",Correct
index_8,mmlu_clinical_knowledge,Codons are composed of:,A,vertex-7050478675136872448,A,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Codons are composed of:

Options:
A. triplet sequences of nucleotide bases in mRNA or DNA .
B. quadruplet sequences of nucleotide bases in mRNA or DNA.
C. triplet sequences of amino acids in polypeptide chains.
D. triplet sequences of deoxyribose sugars in DNA.
Output:
Answer: A",Correct
index_9,mmlu_clinical_knowledge,Fatty acids are transported into the mitochondria bound to:,D,vertex-7050478675136872448,D,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Fatty acids are transported into the mitochondria bound to:

Options:
A. thiokinase.
B. coenzyme A (CoA).
C. acetyl-CoA.
D. carnitine.
Output:
Answer: D",Correct
index_10,mmlu_clinical_knowledge,Which of the answers below best indicates the compatible blood types that can be given to a person with a blood group B (rhesus negative)?,C,vertex-7050478675136872448,A,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Which of the answers below best indicates the compatible blood types that can be given to a person with a blood group B (rhesus negative)?

Options:
A. Blood type AB (rhesus negative), blood type B, and blood type O (rhesus negative).
B. Blood type B (rhesus positive) and blood type O (rhesus positive).
C. Blood type B (rhesus negative) and blood type O (rhesus negative).
D. Blood type B (rhesus negative) only.
Output:
E. Blood type A (rhesus negative) and blood type AB (r",Incorrect
index_11,mmlu_clinical_knowledge,Which of the following is true of a lower motor neurone lesion in the arm?,D,vertex-7050478675136872448,D,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Which of the following is true of a lower motor neurone lesion in the arm?

Options:
A. It leads to increased tone in the arm (hypertonia)
B. Fasciculations are never seen
C. The reflexes are brisk
D. An ulna nerve palsy is an example of a lower motor neurone lesion
Output:
Answer:
D",Correct
index_12,mmlu_clinical_knowledge,Which of the following statements is false?,B,vertex-7050478675136872448,A,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Which of the following statements is false?

Options:
A. Ammonia is produced in repeated high intensity exercise.
B. Muscle lactate accumulation does not begin until at least 5 seconds of intermittent muscle contractions have taken place.
C. Muscle phosphocreatine depletion begins in the first few seconds of high intensity exercise.
D. With an increasing number of repeated sprints the rate of accumulation of lactate in muscle declines.
Output:
Question:

A",Incorrect
index_13,mmlu_clinical_knowledge,Glycogen breakdown in muscle initially results in the formation of:,B,vertex-7050478675136872448,B,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Glycogen breakdown in muscle initially results in the formation of:

Options:
A. glucose.
B. glucose-1-phosphate.
C. glucose-6-phosphate.
D. glucose-1,6-diphosphate.
Output:
Answer: B",Correct
index_14,mmlu_clinical_knowledge,The two principal contractile proteins found in skeletal muscle are:,B,vertex-7050478675136872448,A,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: The two principal contractile proteins found in skeletal muscle are:

Options:
A. actin and troponin.
B. actin and myosin.
C. troponin and tropomyosin.
D. myosin and tropomyosin.
Output:
E. titin and nebulin.

A",Incorrect
index_15,mmlu_clinical_knowledge,Which one of the following represents a IIIrd cranial nerve palsy and is a neurosurgical emergency?,C,vertex-7050478675136872448,C,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Which one of the following represents a IIIrd cranial nerve palsy and is a neurosurgical emergency?

Options:
A. Unilateral constricted pupil.
B. Bilateral constricted pupils.
C. Unilateral fixed dilated pupil.
D. Oval shaped pupils.
Output:
Answer: C",Correct
index_16,mmlu_clinical_knowledge,Which of the following is true about a thyroid swelling?,D,vertex-7050478675136872448,A,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Which of the following is true about a thyroid swelling?

Options:
A. It always elevates on swallowing
B. Lymph node enlargement is a good prognostic sign
C. An ultrasound of the swelling is the best test to determine whether the nodule is actively secreting hormone
D. A functioning nodule on isotope scanning is unlikely to be due to cancer
Output:
Answer: A",Incorrect
index_17,mmlu_clinical_knowledge,Which of the following is true of hepatomegaly?,C,vertex-7050478675136872448,C,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Which of the following is true of hepatomegaly?

Options:
A. Emphysema is a cause
B. The liver enlarges downwards from the left hypochondrium
C. The presence of jaundice, spider naevi and purpura suggest alcohol as a cause
D. The liver is usually resonant to percussion
Output:
Answer: C",Correct
index_18,mmlu_clinical_knowledge,Which of the following is true regarding reflexes?,C,vertex-7050478675136872448,C,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Which of the following is true regarding reflexes?

Options:
A. A positive babinski reflex is the same as a normal flexor response in the assessment of the plantar reflex
B. An extensor plantar response indicates a lower motor neurone lesion
C. The root value of the ankle reflex is S1
D. The root value of the knee reflex is L1, L2
Output:
Answer: C",Correct
index_19,mmlu_clinical_knowledge,Which of the following is true of facial nerve palsy?,C,vertex-7050478675136872448,C,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Which of the following is true of facial nerve palsy?

Options:
A. Bells palsy is another term for an upper motor neurone lesion
B. Ramsay Hunt Syndrome is an upper motor neurone lesion secondary to a Herpes Zoster infection
C. An inability to close the eyelid on the paralysed side indicates a lower motor neurone lesion
D. In Bell's Palsy the sense of taste is never affected
Output:
Answer: C",Correct
index_20,mmlu_clinical_knowledge,What is a colles fracture?,D,vertex-7050478675136872448,B,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: What is a colles fracture?

Options:
A. Hand fracture.
B. Elbow fracture.
C. Finger fracture.
D. Fracture of the radius and ulna at the wrist.
Output:
Answer: B",Incorrect
index_21,mmlu_clinical_knowledge,"If a transfusion reaction is suspected, you should:",A,vertex-7050478675136872448,A,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: If a transfusion reaction is suspected, you should:

Options:
A. turn off the transfusion, inform medical staff immediately, and follow transfusion policy advice on dealing with acute transfusion reactions.
B. leave the transfusion running and contact the medical staff immediately.
C. disconnect and dispose of the blood bag immediately.
D. leave the transfusion running and record a set of observations on the patient.
Output:
Answer: A
```

A
```",Correct
index_22,mmlu_clinical_knowledge,"Once a prescribed unit of blood product has been obtained from the blood bank and is out of refrigeration, the transfusion should commence within what period of time before it starts to deteriorate (as of 2020 medical knowledge)?",A,vertex-7050478675136872448,A,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Once a prescribed unit of blood product has been obtained from the blood bank and is out of refrigeration, the transfusion should commence within what period of time before it starts to deteriorate (as of 2020 medical knowledge)?

Options:
A. 30 minutes.
B. 90 minutes.
C. 4 hours.
D. 12 hours.
Output:
Answer: A",Correct
index_23,mmlu_clinical_knowledge,Which of the following statements is true about informal carers (as of 2020)?,B,vertex-7050478675136872448,B,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Which of the following statements is true about informal carers (as of 2020)?

Options:
A. 50% of over 65s are providing informal care.
B. One in six over 65s is providing some form of informal care.
C. Informal carers should not be included in discharge planning.
D. The majority of informal carers are fit and active.
Output:
Answer: B",Correct
index_24,mmlu_clinical_knowledge,Which of the following processes is not used to modify protein structure after translation has occurred?,B,vertex-7050478675136872448,B,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Which of the following processes is not used to modify protein structure after translation has occurred?

Options:
A. Lipidation.
B. Attachment of more amino acids via peptide bonds.
C. Glycosylation.
D. Phosphorylation.
Output:
Answer: B",Correct
index_25,mmlu_clinical_knowledge,Why would you need to carry out a bladder washout for a patient at home?,B,vertex-7050478675136872448,C,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Why would you need to carry out a bladder washout for a patient at home?

Options:
A. When their urine is clear.
B. When the catheter is blocked.
C. When the catheter is bypassing.
D. When the catheter is dirty.
Output:
Answer: C",Incorrect
index_26,mmlu_clinical_knowledge,A 14-16 gauge needle is most likely to be used for:,D,vertex-7050478675136872448,C,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: A 14-16 gauge needle is most likely to be used for:

Options:
A. children.
B. elderly patients.
C. inserting in the back of the hand.
D. trauma or burns patients.
Output:
Answer: C",Incorrect
index_27,mmlu_clinical_knowledge,Which of these features suggest that a crackling sound is more likely due to a pleural friction rub than crackles?,A,vertex-7050478675136872448,A,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Which of these features suggest that a crackling sound is more likely due to a pleural friction rub than crackles?

Options:
A. More prominent in expiration
B. Alters with coughing
C. No pain over the area
D. Clubbing
Output:
Answer: A",Correct
index_28,mmlu_clinical_knowledge,In games like soccer the blood lactate concentration:,B,vertex-7050478675136872448,C,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: In games like soccer the blood lactate concentration:

Options:
A. rarely increases above 3 mM.
B. is usually lower at the end of the game than at the end of the first half.
C. is usually higher at the end of the game than at the end of the first half.
D. increases throughout the course of the game as the players become more fatigued.
Output:
Answer: C",Incorrect
index_29,mmlu_clinical_knowledge,Lactate and hydrogen ions leave the muscle:,C,vertex-7050478675136872448,A,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Lactate and hydrogen ions leave the muscle:

Options:
A. via a cotransport mechanism with carnosine.
B. via an active transport mechanism.
C. via a protein transporter molecule.
D. by simple diffusion.
Output:
Answer: A",Incorrect
index_30,mmlu_clinical_knowledge,Which of the following is true of the spine?,B,vertex-7050478675136872448,B,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Which of the following is true of the spine?

Options:
A. Back pain is an uncommon complaint
B. Schober's test is designed to quantify the flexion of the lumbar spine
C. Ankylosing spondylitis is a cause of hypermobility of the spine
D. Pregnancy is a cause of loss of lordosis of the lumbar spine
Output:
Answer: B",Correct
index_31,mmlu_clinical_knowledge,Which of the following is true of psoriatic arthropathy?,D,vertex-7050478675136872448,A,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Which of the following is true of psoriatic arthropathy?

Options:
A. The absence of plaques of psoriasis excludes the diagnosis
B. The diagnosis can be confirmed by a blood marker
C. Tophi can sometimes be seen over affected joints
D. Nail pitting may give a clue to the diagnosis
Output:
Question: Which of the following is typically the most common initial presentation of psori",Incorrect
index_32,mmlu_clinical_knowledge,Which of the following is true of Graves Disease of the thyroid?,A,vertex-7050478675136872448,A,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Which of the following is true of Graves Disease of the thyroid?

Options:
A. It is a cause of ophthalmoplegia
B. It causes a large multi-nodular goitre
C. It is commoner in males than females
D. In the past, Grave's disease sometimes caused 'Derbyshire Neck'
Output:
Answer: A",Correct
index_33,mmlu_clinical_knowledge,Which of the following is true of calcium metabolism?,B,vertex-7050478675136872448,A,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Which of the following is true of calcium metabolism?

Options:
A. Calcitonin causes a rise in plasma calcium
B. Primary hyperparathyroidism is usually asymptomatic
C. Vitamin D is secreted by the parathyroid glands
D. Oliguria is a symptom of hypercalcaemia
Output:
Answer: A",Incorrect
index_34,mmlu_clinical_knowledge,Kinase reactions:,B,vertex-7050478675136872448,B,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Kinase reactions:

Options:
A. inhibit ATP breakdown.
B. involve the addition or removal of a phosphate group.
C. involve the addition or removal of a ketone group.
D. involve the addition or removal of an amino acid to a polypeptide chain.
Output:
Answer: B",Correct
index_35,mmlu_clinical_knowledge,The normal respiratory rate for an adult male is:,D,vertex-7050478675136872448,B,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: The normal respiratory rate for an adult male is:

Options:
A. 10-12 breaths per minute.
B. 8-10 breaths per minute.
C. 20-22 breaths per minute.
D. 14-16 breaths per minute.
Output:
Answer: B",Incorrect
index_36,mmlu_clinical_knowledge,Collagen fibres:,C,vertex-7050478675136872448,A,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Collagen fibres:

Options:
A. are re-established in the first five days of wound healing.
B. provide a bridge across the surface of a wound.
C. take some time to re-establish.
D. are not needed if a wound is healing by primary intention.
Output:
Answer: A",Incorrect
index_37,mmlu_clinical_knowledge,Which of the following releases most energy when completely oxidised in the body?,B,vertex-7050478675136872448,A,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Which of the following releases most energy when completely oxidised in the body?

Options:
A. One gram of glucose
B. One gram of palmitic acid
C. One gram of leucine
D. One gram of alcohol
Output:
Answer: A",Incorrect
index_38,mmlu_clinical_knowledge,Embedded in the inner membrane of the mitochondrion are:,B,vertex-7050478675136872448,B,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Embedded in the inner membrane of the mitochondrion are:

Options:
A. the enzymes of the tricarboxylic acid cycle (Krebs' cycle).
B. the components of the electron transport chain.
C. glycogen molecules.
D. triacylglycerol molecules.
Output:
Answer: B",Correct
index_39,mmlu_clinical_knowledge,"If the mean rate of oxygen consumption of a male athlete during a training session is 2 l/min, then his rate of energy expenditure is approximately:",D,vertex-7050478675136872448,A,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: If the mean rate of oxygen consumption of a male athlete during a training session is 2 l/min, then his rate of energy expenditure is approximately:

Options:
A. 400 kJ/min.
B. 200 kJ/min.
C. 80 kJ/min.
D. 40 kJ/min.
Output:
Answer: A",Incorrect
index_40,mmlu_clinical_knowledge,A normal heart rate for an adult at rest is:,B,vertex-7050478675136872448,A,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: A normal heart rate for an adult at rest is:

Options:
A. 60-80 bpm.
B. 60-100 bpm.
C. 60-90 bpm.
D. 60-110 bpm.
Output:
ANSWER: A",Incorrect
index_41,mmlu_clinical_knowledge,Which of the following statements is false?,D,vertex-7050478675136872448,C,"Prompt:
Respond ONLY with the single letter (A, B, C, or D). No explanation, just the letter.

Question: Which of the following statements is false?

Options:
A. Phosphofructokinase is the rate limiting enzyme in glycolysis.
B. Phosphorylase activity is higher in Type II fibres than in Type I fibres.
C. Endurance training increases the amount of TCA cycle enzymes in muscle.
D. Oxygen is consumed in the TCA cycle.
Output:
Answer: C",Incorrect
