id,dataset,question,ground_truth_answer,gemini_model,gemini_parsed_answer,gemini_raw_response,gemini_outcome
index_99,mmlu_clinical_knowledge,960 mg of the antibacterial drug Cotrimoxazole is prescribed every 12 hours. What is the daily dose in grams? Choose one answer from the following:,B,models/gemini-2.0-flash,B,B,Correct
index_100,mmlu_clinical_knowledge,Which of the following is true of hypothyroidism?,C,models/gemini-2.0-flash,C,C,Correct
index_101,mmlu_clinical_knowledge,What is hypochlorhydria?,C,models/gemini-2.0-flash,C,C,Correct
index_102,mmlu_clinical_knowledge,"A 67-year-old man, three hours post-transurethral resection of prostate with irrigation, has a blocked catheter. Which solution should be used to complete bladder washout?",B,models/gemini-2.0-flash,B,B,Correct
index_103,mmlu_clinical_knowledge,A keloid is:,B,models/gemini-2.0-flash,B,B,Correct
index_104,mmlu_clinical_knowledge,Which of the following is not an amino acid?,D,models/gemini-2.0-flash,D,D,Correct
index_105,mmlu_clinical_knowledge,Wound drainage is described as serous if:,D,models/gemini-2.0-flash,D,D,Correct
index_106,mmlu_clinical_knowledge,The sex of a child is dictated by the inheritance of:,D,models/gemini-2.0-flash,D,D,Correct
index_107,mmlu_clinical_knowledge,Which of the following is true in spastic paraplegia?,A,models/gemini-2.0-flash,A,A,Correct
index_108,mmlu_clinical_knowledge,"The synthesis of glucose from lactate, glycerol, or amino acids is called:",D,models/gemini-2.0-flash,D,D,Correct
index_109,mmlu_clinical_knowledge,"If a blood unit has been out of refrigeration for longer than the accepted time limit, you should:",C,models/gemini-2.0-flash,C,C,Correct
index_110,mmlu_clinical_knowledge,The auscultatory gap is:,C,models/gemini-2.0-flash,C,C,Correct
index_111,mmlu_clinical_knowledge,How many different types of microorganisms may colonize the mouth?,C,models/gemini-2.0-flash,D,D,Incorrect
index_112,mmlu_clinical_knowledge,Why should shampoo not be used for washing the skin when showering or bathing?,D,models/gemini-2.0-flash,D,D,Correct
index_113,mmlu_clinical_knowledge,Which of the following is the same strength as Adrenaline 1 in 1000? Choose one answer from the following:,A,models/gemini-2.0-flash,A,A,Correct
index_114,mmlu_clinical_knowledge,An allele that is masked is referred to as:,A,models/gemini-2.0-flash,A,A,Correct
index_115,mmlu_clinical_knowledge,Hypernatraemic dehydration is:,A,models/gemini-2.0-flash,A,A,Correct
index_116,mmlu_clinical_knowledge,Which of the following is not associated with an increase in the work of breathing?,D,models/gemini-2.0-flash,D,D,Correct
index_117,mmlu_clinical_knowledge,Which of the following can act as an intracellular buffer to limit pH changes when the rate of glycolysis is high?,C,models/gemini-2.0-flash,C,C,Correct
index_118,mmlu_clinical_knowledge,Which of the following is true about Addisons Disease?,B,models/gemini-2.0-flash,B,B,Correct
index_119,mmlu_clinical_knowledge,Which of the following are indicative signs and symptoms of circulatory overload?,D,models/gemini-2.0-flash,D,D,Correct
index_120,mmlu_clinical_knowledge,What is the most likely cause of acute urinary retention of urine?,B,models/gemini-2.0-flash,B,B,Correct
index_121,mmlu_clinical_knowledge,Which of the following tools is the first choice for cleaning the mouth?,A,models/gemini-2.0-flash,A,A,Correct
index_122,mmlu_clinical_knowledge,Which of the following drugs may be used to enhance gastric motility?,C,models/gemini-2.0-flash,C,C,Correct
index_123,mmlu_clinical_knowledge,The creatine kinase reaction is:,D,models/gemini-2.0-flash,D,D,Correct
index_124,mmlu_clinical_knowledge,Where should a stoma be sited?,A,models/gemini-2.0-flash,A,A,Correct
index_125,mmlu_clinical_knowledge,Women's world record performances have improved rapidly in recent years mainly because:,D,models/gemini-2.0-flash,D,D,Correct
index_126,mmlu_clinical_knowledge,Our genetic material is made up of:,A,models/gemini-2.0-flash,A,A,Correct
index_127,mmlu_clinical_knowledge,Insensible loss does not come from:,C,models/gemini-2.0-flash,C,C,Correct
index_128,mmlu_clinical_knowledge,"Exhaustion, confusion, and unresponsiveness can be indicators of:",A,models/gemini-2.0-flash,A,A,Correct
index_129,mmlu_clinical_knowledge,"Pairs of electrons carried in the form, FADH2 and NADH+H, collectively contain enough free energy to rephosphorylate:",B,models/gemini-2.0-flash,B,B,Correct
index_130,mmlu_clinical_knowledge,A muscle fibre relaxes when:,A,models/gemini-2.0-flash,A,A,Correct
index_131,mmlu_clinical_knowledge,Which of the following best describes the Golgi tendon organ?,B,models/gemini-2.0-flash,B,B,Correct
index_132,mmlu_clinical_knowledge,The pulse can be palpated:,D,models/gemini-2.0-flash,D,D,Correct
index_133,mmlu_clinical_knowledge,The pyruvate dehydrogenase complex:,B,models/gemini-2.0-flash,B,B,Correct
index_134,mmlu_clinical_knowledge,Which of the following is true about the knee joint?,C,models/gemini-2.0-flash,C,C,Correct
index_135,mmlu_clinical_knowledge,Who is the publication Your guide to the NHS written for?,C,models/gemini-2.0-flash,C,C,Correct
index_136,mmlu_clinical_knowledge,Which of the following is true about the assessment of arm reflexes?,A,models/gemini-2.0-flash,A,A,Correct
index_137,mmlu_clinical_knowledge,Which of these is most likely to cause deviation of the trachea?,C,models/gemini-2.0-flash,A,A,Incorrect
index_138,mmlu_clinical_knowledge,What is the risk if water is used for bladder washout in secondary care?,C,models/gemini-2.0-flash,C,C,Correct
