id,dataset,question,ground_truth_answer,ground_truth_explanation,gemini_model,gemini_parsed_answer,gemini_raw_response,gemini_outcome
95fbb4f0-8b34-4251-b067-03673cedc609,medmcqa,Which is true regarding Savage syndrome?,A,"In Savage syndrome, there is receptor defect to gonadotrophic hormones. The clinical features resemble autoimmune disease. Height is normal. The ovaries contain follicles. FSH is raised. Ref: Shaw's Textbook of Gynaecology, 18th edition, p286",models/gemini-2.0-flash,C,C,Incorrect
0c4db971-ade8-4aeb-8c6f-0bbcd0212c39,medmcqa,What is the dosage of retinol palmitate for early stages of xerophthalmia: September 2011,C,"Ans. C: 110 mg orally on two successive days Nearly all of the early stages of xerophthalmia can be reversed by administration of a massive dose (2,00,000 IU or 110 mg of retinol palmitate) orally on 2 successive days Xerophthalmia/ Dry eyes Condition in which the eye fails to produce tears. Xerophthalmia caused by a severe vitamin A deficiency is described by pathologic dryness of the conjunctiva and * cornea. The conjunctiva becomes dry, thick and wrinkled. If untreated, it can lead to corneal ulceration and ultimately to blindness as a result of corneal damage. Xerophthalmia is a term that usually implies a destructive dryness of the conjunctival epithelium due to dietary vitamin A deficiency -- a rare condition in developed countries, but still causing much damage in developing countries. Other forms of dry eye are associated with aging, poor lid closure, scarring from previous injury, or autoimmune diseases such as rheumatoid ahritis and SjOgren's syndrome, and these can all cause chronic conjunctivitis. Radioiodine therapy can also induce xerophthalmia, often transiently Xerophthalmia from hypovitaminosis A is specifically due to lack of the hormone-like vitamin A metabolite retinoic acid Treatment can occur in two ways: treating symptoms and treating the deficiency. Treatment of symptoms usually includes use of aificial tears in the form of eye drops, increasing the humidity of the environment with humidifiers, and wearing wrap around glasses when outdoors. Treatment of the deficiency can be accomplished with a Vitamin A or multivitamin supplement or by eating foods rich in Vitamin A. Treatment with supplements and/or diet can be successful until the disease progresses as far as corneal ulceration, at which point only an extreme surgery can offer a chance of returning sight.",models/gemini-2.0-flash,A,A,Incorrect
3812332f-67f7-4c05-860e-c6c0e51325bc,medmcqa,Which among the following organisms causes Buruli ulcer?,B,"Ans. B. M. UlceransM. Ulcerans causes Buruli ulcer.* It starts as a nodule or papule which progresses further to form a shallow necrotic ulcer.* Children (5-15 years old) have the highest incidence of Buruli ulcers, with most lesions on the lower extremities.Image: Extensive Buruli ulcer",models/gemini-2.0-flash,B,B,Correct
8b679fd4-ddf7-4292-8db8-815e18215fdd,medmcqa,A 41 year old patient presented with chronic diarrhoea for 3 months. A d-xylose absorption test was ordered to look for:,A,Ans is A (Carbohydrate malabsorption due to mucosal disease) `The urinary D-xylose test for carbohydrate absorption provides an assessment of proximal small intestine mucosal function.' Urinary D-xylose test: Principle D-xylose is a `pentose. that is completely absorbed almost exclusively in the proximal small intestine and excreted subsequently in the urine. The level of excreted D-xylose in urine is estimated. Any decrease in its level in urine means abnormality in carbohydrate absorption in proximal intestine. Procedure & interpretation 25g D-xylose is given and urine is collected for 5 hrs. An excretion of < 4.5e primarily reflects the presence of duodenal /jejuna) mucosal disease.,models/gemini-2.0-flash,A,A,Correct
937dc386-a681-40b5-891f-3e2a125907cf,medmcqa,Which of the following extraocular muscles does not arise from annulus:,D,"The annulus of Zinn, also known as the annular tendon or common tendinous ring, is a ring of fibrous tissue surrounding the optic nerve at its entrance at the apex of the orbit.It can be used to divide the regions of the superior orbital fissure.The aeries surrounding the optic nerve are sometimes called the ""circle of Zinn-Haller"" (CZH).Some sources distinguish between these terms more precisely, with the annulus tendineus communis being the parent structure, divided into two pas:A lower, the ligament or tendon of Zinn, which gives origin to the Rectus inferior, pa of the Rectus internus, and the lower head of origin of the Rectus lateralis.An upper, which gives origin to the Rectus superior, the rest of the Rectus medialis, and the upper head of the Rectus lateralis. This upper band is sometimes termed the superior tendon of Lockwood.The site of origin of the superior oblique muscle is from the lesser wing of sphenoid above the optic canal.",models/gemini-2.0-flash,D,D,Correct
7e09fed0-c064-482b-802c-77f23bd4a1c2,medmcqa,"Compared to follicular Ca, papillary Ca of thyroid have :a) More male preponderanceb) Bilateralityc) Local recurrence commond) Increased mortalitye) Increased lymph node metastasis.",B,,models/gemini-2.0-flash,B,B,Correct
9c65da0f-5b74-4a30-9da0-fbe0a9dee64a,medmcqa,Ptosis is due to:,A,"Ans. (a) 3rd CN palsy (oculomotor)Ref.:BDC 6th ed. Vol-III/361-62* Ptosis is drooping of eyelid.* Eyelid is comprised of 4 muscles:Muscles, their innervation and functionMuscleCN innervationFunction* LPSIIIOpens the eyelid* Muller's muscleT1 (NOT a CN; sympathetic nerve)Opens eyelid when LPS tired* FrontalisVIICloses the eyelid* Orbicularis oculiVIICloses the eyelid* CN III palsy leads to drooping of eyelid (Ptosis).* CN VII palsy may also cause ptosis.Also Know*All the extraocular muscles are supplied by CN III except lateral rectus and superior oblique.* Lateral rectus supplied by- CN VI* Superior oblique supplied by- CN IVRemember- LR6; So4",models/gemini-2.0-flash,A,A,Correct
07d8e80e-51bc-4550-b39e-aeede6810447,medmcqa,True about isoenzymes is/are,D,"Consist of multimeric complex & `e' i.e., Have different physical properties

isozymes are the physically distinct forms of the same enzymes that catalyze the same reaction, and differ from each other structurally, electrophoretically and immunologically.
They differ in their physical properties because of genetically determined difference in amino acid sequence.
They are separated by electrophoresis as they have different electrophoretic mobility.
They have different Kin value.
Isoenzyme of an oligomeric enzyme process differ in combination of its peptide protomer.",models/gemini-2.0-flash,D,D,Correct
6dc3ca7d-e70e-4a71-9d19-d8ca18fe74cc,medmcqa,Which of the following is not an action of epinephrine when administered intravenously in a high dose?,B,,models/gemini-2.0-flash,B,B,Correct
5e5a624d-7d19-459a-8462-97deb1ede7d5,medmcqa,Osteoclast has specific receptor for:,B,"Calcitonin receptor is expressed in osteoclasts. Calcitonin inhibits bone resorption by inhibiting osteoclasts; and promotes Ca2+ from blood to be deposited on the bone. This decreases blood Ca2+. PTH is a primary endocrine regulator of bone remodeling in adults. The PTH/PTHrP receptor is expressed on osteoblasts, but not on osteoclasts.",models/gemini-2.0-flash,A,A,Incorrect
